,nombre,precio_publicado,precio_regular,categoria,SKU,url_producto,stock,descripcion
10,Smart TV Samsung 32 pulgadas HD UN32T4300A,129999.0,129999,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,20192,https://portal.vtexcommercestable.com.br/smart-tv-samsung-32-pulgadas-hd-un32t4300a/p,1,"<p style=""text-align: center;""><strong>El Smart TV Samsung UN43T5300A</strong> cuenta con una pantalla de visualizaci&oacute;n widescreen (16:9) con resoluci&oacute;n HD (1366 x 768 p&iacute;xeles p&iacute;xeles) que brinda una gran calidad de imagen y contraste. A diferencia de otras TV convencionales, su tecnolog&iacute;a en color mejora la calidad de las im&aacute;genes mediante un algoritmo avanzado devolviendo colores m&aacute;s reales.<br /><br /><strong>Conect&aacute; tus dispositivos</strong><br />Mediante sus entradas HDMI pod&eacute;s conectar reproductores de audio y video; consolas de juegos y notebooks. Su gran capacidad de transmisi&oacute;n de datos permite disfrutar de im&aacute;genes en alta definici&oacute;n y un sonido de gran fidelidad. Tambi&eacute;n, a trav&eacute;s de su puerto USB podr&aacute;s reproducir contenido digital (m&uacute;sica, im&aacute;genes y videos) almacenado en dispositivos externos como tablets, smartphones y pendrives.</p> <p style=""text-align: center;""><strong>Naveg&aacute; por la web</strong><br />Gracias a que posee Wi-Fi incorporado, podr&aacute;s acceder a internet de forma inal&aacute;mbrica, navegar y ejecutar tus aplicaciones favoritas.</p> <p style=""text-align: center;""><strong>Caracter&iacute;sticas generales</strong><br />Marca Samsung<br />L&iacute;nea Series 4<br />Modelo UN32T4300AG<br />Voltaje220V - 240V<br />Frecuencia 50 Hz x 60 Hz<br /><br /><strong>Especificaciones</strong><br />Es smart S&iacute;<br />Es 3D No<br />Es curvo No<br />Sistema operativo Tizen<br />Con apagado autom&aacute;ticoS&iacute;<br />Con sistema de montaje VESA incorporado S&iacute;<br /><br /><strong>Peso y dimensiones</strong><br />Ancho x Profundidad x Altura<br />737.4 mm x 74.1 mm x 438 mm<br />Peso 4 kg<br />Ancho con soporte 737.4 mm<br />Profundidad con soporte 150.5 mm<br />Altura con soporte 465.4 mm<br />Peso con soporte 4.1 kg<br /><br /><strong>Accesorios incluidos</strong><br />Manual,Manual electr&oacute;nico,Cable de alimentaci&oacute;n,Control remoto TM1240A<br />Tecnolog&iacute;a<br />Con funci&oacute;n screen share S&iacute;<br />Con comando de voz integrado S&iacute;<br /><br /><strong>Apps integradas</strong><br />Samsung TV Plus,Netflix,Prime Video,Hulu,Apple TV,Disney+,Vudu,YouTube,YouTube TV,ESPN,Samsung Health,SmartThings,Web browser,Google Play Movies &amp; TV,Gallery</p> <p style=""text-align: center;""></p>"
11,Smart Tv Led 55 pulgadas 4k Uhd Rca And55p6uhd,278579.0,278579,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,44977,https://portal.vtexcommercestable.com.br/smart-55-rca-and55p6uhd-2/p,2,"<p style=""text-align: center;""><strong>Especificaciones t&eacute;cnicas</strong><br />Entradas:<br />1 RF (75 ohms) Antena/Cable<br />1 Video AV<br />1 Audio R/L<br />3 HDMI<br />1 USB<br />1 LAN<br />Salidas:<br />1 Auricular<br />1 Audio S/PDIF &Oacute;ptica ( Audio Digital)<br />Tensi&oacute;n de alimentaci&oacute;n:<br />100-240V~ 50/60Hz 50W<br /><br /><strong>Imagen</strong><br />Diagonal Pantalla: 55""<br />Resoluci&oacute;n (pixeles) 3840&times;2160<br /><br /><strong>Sonido</strong><br />Parlantes Integrados 2<br />Potencia de salida de audio 2 x 9.5 Watts<br />Sistema de sonido MTS (ESTEREO/MONO/SAP)<br /><br /><strong>Accesorios</strong><br />Manual con Garant&iacute;a : Si<br />Control remoto Infrarojo : Si<br />Tornillos : Si<br />Cable alimentaci&oacute;n : Si<br />Soporte base : Si<br />Cable adaptador de se&ntilde;al:Si<br /><br /><strong>Medidas</strong><br />Medidas con soporte de mesa:<br />Ancho (cm.) 122,6<br />Alto (cm.) 76,6<br />Profundidad (cm.) 26,5<br />Peso (kg.) 10,2</p>"
12,PACK ANTENA DIRECTV 0.60 FULL,5999.0,5999,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,152,https://portal.vtexcommercestable.com.br/kit-antena-directv-prepago-60-cm/p,20,
13,SOPORTE PARA TV NAKAN SPL375E 26 A 60 PULGADAS,56349.0,56349,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,35294,https://portal.vtexcommercestable.com.br/soporte-para-tv-nakan-spl375e-26-a-60-pulgadas/p,2,"<p>- Marca:&nbsp;Nakan</p> <p>- Modelo:&nbsp;SPL 375</p> <p>- Color:&nbsp;Negro</p> <p>- Tama&ntilde;o m&iacute;nimo de la pantalla:&nbsp;26 ""</p> <p>- Tama&ntilde;o m&aacute;ximo de la pantalla:&nbsp;60 ""</p> <p>- Est&aacute;ndares VESA:&nbsp;Universal,50x50 - 400x400</p> <p>- Es fijo:&nbsp;S&iacute;&nbsp;</p> <p>- Es articulado:&nbsp;S&iacute;</p> <p>- Es gamer:&nbsp;No</p> <p>- Es inclinable:&nbsp;S&iacute;</p> <p>- Es girat&oacute;rio:&nbsp;S&iacute;</p> <p>- Distancia m&aacute;xima de la pared:&nbsp;37 cm</p> <p>- Peso m&aacute;ximo soportado:&nbsp;40 kg</p> <p>- Distancia m&iacute;nima de la pared:&nbsp;9 cm</p>"
14,"SOPORTE PARA TV FIJO NAKAN SPL-495I 26-60""",30709.0,30709,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,2322,https://portal.vtexcommercestable.com.br/soporte-para-tv-fijo-nakan-spl-495i-26-60/p,4,"<p>Nivel burbuja</p><p>Sugerido de 26"" a 60""</p><p>Kit de Fijaci&oacute;n</p><p>Resiste 50kg</p><p>Distancia a la pared 3 o 5 cm.</p><p>Universal y VESA 50x50 a 400x400</p>"
15,SOPORTE DE TV ONEBOX OB-F24 (23 A 43 PULGADAS),13179.0,13179,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,33750,https://portal.vtexcommercestable.com.br/soporte-de-tv-onebox-ob-f24-23-a-43-pulgadas/p,6,"<br />- PULGADAS: 23 A 43 pulgadas<br />- Peso maximo: 35kg<br />- Distancia a la pared: 19,5 mm"
16,"CABLE HDMI 360 ONEBOX 1,8 Mts",13809.0,13809,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,35340,https://portal.vtexcommercestable.com.br/cable-hdmi-360-onebox-1-8-mts/p,1,"Cable HDMI a HDMI de alta velocidad con una longitud de 1,8 metros y con pin de rotación 360º. - Olvídate de los cables rotos por la posición. Acá esta la solución, conecta lo que vos quieras y disfrutá de la transmisión de datos con gran resolución."
17,TV LED PHILIPS 24 PULGADAS HD 24PHD5565/77,122129.0,122129,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,17291,https://portal.vtexcommercestable.com.br/tv-led-philips-24-pulgadas-hd-24phd5565-77/p,1,"<p style=""text-align: center;"">Conect&aacute; tus dispositivos Mediante sus 2 entradas HDMI pod&eacute;s vincular reproductores de audio y video; consolas de juegos y notebooks. <br />Su gran capacidad de transmisi&oacute;n de datos permite disfrutar de im&aacute;genes en alta definici&oacute;n y un sonido de gran fidelidad. Tambi&eacute;n, a trav&eacute;s de su puerto USB, podr&aacute;s reproducir contenido multimedia (m&uacute;sica, fotos y videos) almacenado en tus dispositivos externos como tablets, smartphones y pendrives. <br />Disfrut&aacute; en HD El LED TV Philips 24PHD5565/77 de 24 pulgadas cuenta con una pantalla widescreen (16:9) con resoluci&oacute;n HD (1366 x 768 pixeles) que brinda una gran calidad de imagen y contraste. <br />A su vez, la tecnolog&iacute;a LED te permite reducir el consumo de energ&iacute;a. <br />Especificaciones<br />Procesador Pixel Plus HD que optimiza la calidad de las im&aacute;genes para mayor nitidez y contraste <br />1 puerto USB con reproducci&oacute;n multimedia <br />2 entradas HDMI <br />Incluye sintonizador de TV Digital Abierta para que veas todo el contenido en HD disponible gratis y mucho m&aacute;s<br />Garant&iacute;a: 1 a&ntilde;o<br />Origen: Argentina</p>"
18,Soporte para TV de doble brazo SPL-780e,103339.0,103339,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,2184,https://portal.vtexcommercestable.com.br/soporte-para-tv-de-doble-brazo-spl-780e/p,4,"Soporte para TV, LCD, LED, 3D, curvo extensible giratorio y con inclinación, de 26"" a 55"""
19,Cable de audio y video RCA,3039.0,3039,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,3528,https://portal.vtexcommercestable.com.br/cable-de-audio-y-video-rca/p,3,Cable de audio y video RCA
